titolo,prezzo_originale,prezzo_scontato,immagine,link,colore_codice,categoria,genere
Ballerine Donna in Tessuto e Pelle,"104,50 €","149,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512370D_329_02_jpg.webp,https://nerogiardini.it/it/ballerine-donna-in-tessuto-e-pelle-25p-e512370d,8,ballerine,donna
Ballerine Donna in Pelle,"111,50 €","139,50 € (20%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E410001D_100_02_jpg.webp,https://nerogiardini.it/it/ballerine-donna-in-pelle-25p-e410001d,13,ballerine,donna
Ballerine Donna in Pelle,"104,50 €","149,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E509515D_614_02_jpg.webp,https://nerogiardini.it/it/25p-e509515d,14,ballerine,donna
Ballerine Donna in Vernice,"94,50 €","135,00 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512361D_711_02_jpg.webp,https://nerogiardini.it/it/ballerine-donna-in-vernice-25p-e512361d,14,ballerine,donna
Ballerine Donna in Vernice,"94,50 €","135,00 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512361D_711_02_jpg.webp,https://nerogiardini.it/it/ballerine-donna-in-vernice-25p-e512361d,15,ballerine,donna
Ballerine Donna in Vernice,"94,50 €","135,00 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512361D_711_02_jpg.webp,https://nerogiardini.it/it/ballerine-donna-in-vernice-25p-e512361d,196,ballerine,donna
Décolleté Donna in Pelle,"101,50 €","145,00 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E409312DE_201_02_jpg.webp,https://nerogiardini.it/it/decollete-donna-in-pelle-25p-e409312de,4,decollete,donna
Décolleté Donna in Pelle,"104,50 €","149,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E411072DE_200_02_jpg.webp,https://nerogiardini.it/it/decollete-donna-in-pelle-25p-e411072de,4,decollete,donna
Décolleté Donna in Pelle,"101,50 €","145,00 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E511070DE_200_02_jpg.webp,https://nerogiardini.it/it/25p-e511070de,4,decollete,donna
Décolleté Donna in Pelle,"111,50 €","159,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512220DE_201_02_jpg.webp,https://nerogiardini.it/it/decollete-donna-in-pelle-25p-e512220de,4,decollete,donna
Décolleté Donna in Pelle,"101,50 €","145,00 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512350D_100_02_jpg.webp,https://nerogiardini.it/it/decollete-donna-in-pelle-25p-e512350d,4,decollete,donna
Décolleté Donna in Pelle,"104,50 €","149,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E011073DE_100_02_jpg.webp,https://nerogiardini.it/it/decollete-donna-in-pelle-25p-e011073de,5,decollete,donna
Décolleté Donna in Pelle,"104,50 €","149,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E011084DE_100_02_jpg.webp,https://nerogiardini.it/it/decollete-donna-in-pelle-25p-e011084de,5,decollete,donna
